Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Fatality
Accident,1979-09-17,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,DC9,2.0,Turbo Fan,Nill,0,,1.0,44.0,VMC,0
Accident,1982-01-01,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-01,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0,0.0,0.0,2.0,IMC,0
Accident,1982-01-02,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0,0.0,1.0,0.0,IMC,0
Accident,1982-01-02,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-02,Total.Fatal.Injuries,Destroyed,Airplane,Navion,A,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-02,Total.Fatal.Injuries,Destroyed,Airplane,Beech,19,1.0,Reciprocating,Personal,2,0.0,0.0,0.0,IMC,2
Accident,1982-01-02,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,180,1.0,Reciprocating,Personal,3,0.0,0.0,0.0,VMC,3
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-02,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Incident,1982-01-03,Non-Fatal,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-03,Total.Fatal.Injuries,Destroyed,Airplane,Grumman,AA-5B,1.0,Reciprocating,Personal,2,1.0,0.0,0.0,IMC,2
Accident,1982-01-03,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,414A,2.0,Reciprocating,Business,8,0.0,0.0,0.0,IMC,8
Accident,1982-01-03,Total.Fatal.Injuries,Destroyed,Airplane,Beechcraft,BE-58,2.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0,0.0,1.0,1.0,VMC,0
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Personal,0,0.0,2.0,0.0,VMC,0
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0,0.0,2.0,0.0,VMC,0
Accident,1982-01-03,Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,1.0,Reciprocating,Ferry,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-04,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,4,0.0,0.0,0.0,VMC,4
Accident,1982-01-04,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Unknown,2,0.0,0.0,0.0,VMC,2
Accident,1982-01-04,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,T337G,2.0,Reciprocating,Personal,2,2.0,0.0,0.0,IMC,2
Accident,1982-01-04,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Personal,0,0.0,2.0,0.0,VMC,0
Accident,1982-01-04,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Business,1,0.0,1.0,0.0,VMC,1
Accident,1982-01-05,Total.Fatal.Injuries,Destroyed,Airplane,Navion,A,1.0,Reciprocating,Business,3,0.0,0.0,0.0,IMC,3
Accident,1982-01-05,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-05,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Unknown,2,0.0,0.0,0.0,VMC,2
Incident,1982-01-05,Non-Fatal,Minor,Airplane,Rockwell,114,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-05,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Business,0,1.0,0.0,1.0,VMC,0
Accident,1982-01-05,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Ferry,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-05,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Unknown,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-05,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Unknown,0,2.0,0.0,0.0,VMC,0
Accident,1982-01-06,Non-Fatal,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Executive/corporate,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-06,Non-Fatal,Substantial,Airplane,Beech,35,1.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-06,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-06,Non-Fatal,Substantial,Airplane,Mooney,M-20J,1.0,Reciprocating,Business,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-06,Non-Fatal,Substantial,Airplane,Boeing,A75,1.0,Reciprocating,Unknown,0,1.0,0.0,1.0,IMC,0
Accident,1982-01-07,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,210,1.0,Reciprocating,Unknown,2,0.0,0.0,0.0,VMC,2
Accident,1982-01-07,Non-Fatal,Substantial,Airplane,Beech,V35,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-07,Non-Fatal,Substantial,Airplane,Curtis,C46,2.0,Reciprocating,Unknown,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-08,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-08,Total.Fatal.Injuries,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,1,1.0,0.0,0.0,VMC,1
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Business,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Instructional,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-08,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-09,Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,0,1.0,0.0,3.0,VMC,0
Accident,1982-01-09,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-09,Non-Fatal,Substantial,Airplane,Piper,PA-34,2.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-09,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Unknown,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-09,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Unknown,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-10,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Unknown,0,2.0,0.0,0.0,UNK,0
Accident,1982-01-10,Non-Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-10,Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Personal,0,0.0,0.0,2.0,IMC,0
Accident,1982-01-10,Total.Fatal.Injuries,Destroyed,Airplane,Mooney,M20G,1.0,Reciprocating,Personal,1,1.0,0.0,0.0,VMC,1
Accident,1982-01-10,Non-Fatal,Substantial,Airplane,Cessna,TU206F,1.0,Reciprocating,Personal,0,0.0,4.0,0.0,VMC,0
Accident,1982-01-10,Non-Fatal,Substantial,Airplane,Quickie,1,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-10,Non-Fatal,Substantial,Airplane,Cessna,U206,1.0,Reciprocating,Unknown,0,0.0,3.0,0.0,VMC,0
Accident,1982-01-11,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0,1.0,1.0,0.0,VMC,0
Accident,1982-01-11,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,210N,1.0,Reciprocating,Personal,4,1.0,1.0,0.0,IMC,4
Accident,1982-01-11,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-11,Non-Fatal,Substantial,Airplane,Cessna,310L,2.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Incident,1982-01-12,Non-Fatal,Nill,Airplane,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0,0.0,0.0,149.0,UNK,0
Incident,1982-01-12,Non-Fatal,Minor,Airplane,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-12,Non-Fatal,Destroyed,Airplane,Cessna,414,2.0,Reciprocating,Personal,0,0.0,3.0,0.0,UNK,0
Accident,1982-01-12,Non-Fatal,Substantial,Airplane,Beech,P35,1.0,Reciprocating,Personal,0,1.0,0.0,1.0,IMC,0
Accident,1982-01-13,Non-Fatal,Destroyed,Airplane,Grumman,AA5B,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-13,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Personal,0,0.0,0.0,3.0,VMC,0
Accident,1982-01-13,Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,Reciprocating,Personal,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-13,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Unknown,0,0.0,0.0,2.0,IMC,0
Accident,1982-01-15,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,T210N,1.0,Reciprocating,Personal,3,0.0,0.0,0.0,VMC,3
Accident,1982-01-15,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-15,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-15,Non-Fatal,Substantial,Airplane,Swearingen,SA 226-TC,2.0,Turbo Prop,Unknown,0,1.0,2.0,12.0,VMC,0
Accident,1982-01-15,Non-Fatal,Substantial,Airplane,Beech,C-45H,2.0,Reciprocating,Unknown,0,0.0,0.0,2.0,VMC,0
Accident,1982-01-15,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-MK3,1.0,Turbo Prop,Unknown,0,0.0,0.0,4.0,VMC,0
Accident,1982-01-16,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0,0.0,0.0,1.0,VMC,0
Accident,1982-01-17,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,IMC,1
Accident,1982-01-17,Total.Fatal.Injuries,Destroyed,Airplane,Bede Aircraft,BD-5B,1.0,Reciprocating,Personal,1,0.0,0.0,0.0,VMC,1
